Date started,Larvae age,Larvae batch ,Tray Number/Well,Cue,Larvae Setteled,Larvae Unsetteled
27-Aug,22,2,1a,conspecific shell_FSW,1,5
27-Aug,22,2,1b,sterilized shell_FSW,0,6
27-Aug,22,2,1c,conspecific cue_conspecific shell,4,2
27-Aug,22,2,1d,conspecific cue_sterlized shell,1,5
27-Aug,22,2,1e,predator cue_conspecific shell,2,4
27-Aug,22,2,1f,predator cue_sterlized shell,1,5
27-Aug,22,2,2a,conspecific cue_predator cue_conspecific shell,2,3
27-Aug,22,2,2b,conspecific cue_predator cue_sterilized shell,1,3
27-Aug,22,2,2c,biofilm_sterilized  shell,1,5
27-Aug,22,2,2d,biofilm_conspecific shell,3,2
27-Aug,22,2,2e,biofilm_conspecific cue_conspecific shell,2,2
27-Aug,22,2,2f,biofilm_conspecific cue_sterlized shell,3,3
27-Aug,22,2,3a,biofilm_predator cue_conspecific shell,3,3
27-Aug,22,2,3b,biofilm_predator cue_sterlized shell,1,5
27-Aug,22,2,3c,biofilm_conspecific cue_predator cue_conspecific shell,3,1
27-Aug,22,2,3d,biofilm_conspecific cue_predator cue_sterilized shell,2,3
27-Aug,22,2,3e,conspecific shell_FSW,1,5
27-Aug,22,2,3f,sterilized shell_FSW,0,5
27-Aug,22,2,4a,conspecific cue_conspecific shell,4,2
27-Aug,22,2,4b,conspecific cue_sterlized shell,2,4
27-Aug,22,2,4c,predator cue_conspecific shell,3,3
27-Aug,22,2,4d,predator cue_sterlized shell,0,6
27-Aug,22,2,4e,conspecific cue_predator cue_conspecific shell,5,1
27-Aug,22,2,4f,conspecific cue_predator cue_sterilized shell,2,4
27-Aug,22,2,5a,biofilm_ conspecific shell,0,4
27-Aug,22,2,5b,biofilm_sterilized shell,0,5
27-Aug,22,2,5c,biofilm_conspecific cue_conspecific shell,5,0
27-Aug,22,2,5d,biofilm_conspecific cue_sterlized shell,4,2
27-Aug,22,2,5e,biofilm_predator cue_conspecific shell,3,1
27-Aug,22,2,5f,biofilm_predator cue_sterlized shell,3,3
27-Aug,22,2,6a,biofilm_conspecific cue_predator cue_conspecific shell,5,1
27-Aug,22,2,6b,biofilm_conspecific cue_predator cue_sterilized shell,1,5
27-Aug,22,2,6c,conspecific shell_FSW,0,5
27-Aug,22,2,6d,sterilized shell_FSW,1,5
27-Aug,22,2,6e,conspecific cue_conspecific shell,4,2
27-Aug,22,2,6f,conspecific cue_sterlized shell,2,4
27-Aug,22,2,7a,predator cue_conspecific shell,1,5
27-Aug,22,2,7b,predator cue_sterlized shell,1,11
27-Aug,22,2,7c,conspecific cue_predator cue_conspecific shell,4,2
27-Aug,22,2,7d,conspecific cue_predator cue_sterilized shell,1,4
27-Aug,22,2,7e,biofilm_ conspecific shell,2,4
27-Aug,22,2,7f,biofilm_sterilized shell,0,5
27-Aug,22,2,8a,biofilm_conspecific cue_conspecific shell,5,0
27-Aug,22,2,8b,biofilm_conspecific cue_sterlized shell,5,1
27-Aug,22,2,8c,biofilm_predator cue_conspecific shell,0,6
27-Aug,22,2,8d,biofilm_predator cue_sterlized shell,2,4
27-Aug,22,2,8e,biofilm_conspecific cue_predator cue_conspecific shell,2,2
27-Aug,22,2,8f,biofilm_conspecific cue_predator cue_sterilized shell,4,2
27-Aug,22,2,9a,conspecific shell_FSW,1,5
27-Aug,22,2,9b,sterilized shell_FSW,0,6
27-Aug,22,2,9c,conspecific cue_conspecific shell,8,4
27-Aug,22,2,9d,conspecific cue_sterlized shell,2,3
27-Aug,22,2,9e,predator cue_conspecific shell,4,2
27-Aug,22,2,9f,predator cue_sterlized shell,0,5
27-Aug,22,2,10a,conspecific cue_predator cue_conspecific shell,1,4
27-Aug,22,2,10b,conspecific cue_predator cue_sterilized shell,3,3
27-Aug,22,2,10c,biofilm_ conspecific shell,4,2
27-Aug,22,2,10d,biofilm_sterilized shell,1,5
27-Aug,22,2,10e,biofilm_conspecific cue_conspecific shell,4,1
27-Aug,22,2,10f,biofilm_conspecific cue_sterlized shell,2,3
27-Aug,22,2,11b,biofilm_predator cue_sterlized shell,0,5
27-Aug,22,2,11c,biofilm_conspecific cue_predator cue_conspecific shell,4,1
27-Aug,22,2,11d,biofilm_conspecific cue_predator cue_sterilized shell,3,3
27-Aug,22,2,11e,conspecific shell_FSW,1,5
27-Aug,22,2,11f,sterilized shell_FSW,1,5
27-Aug,22,2,12a,conspecific cue_conspecific shell,5,1
27-Aug,22,2,12b,conspecific cue_sterlized shell,3,3
27-Aug,22,2,12c,predator cue_conspecific shell,4,2
27-Aug,22,2,12d,predator cue_sterlized shell,0,5
27-Aug,22,2,12e,conspecific cue_predator cue_conspecific shell,3,3
27-Aug,22,2,12f,conspecific cue_predator cue_sterilized shell,1,4
27-Aug,22,2,13a,biofilm_ conspecific shell,4,2
27-Aug,22,2,13b,biofilm_sterilized shell,1,5
27-Aug,22,2,13c,biofilm_conspecific cue_conspecific shell,4,1
27-Aug,22,2,13d,biofilm_conspecific cue_sterlized shell,0,5
27-Aug,22,2,13e,biofilm_predator cue_conspecific shell,3,3
27-Aug,22,2,13f,biofilm_predator cue_sterlized shell,0,5
27-Aug,22,2,14a,biofilm_conspecific cue_predator cue_conspecific shell,3,0
27-Aug,22,2,14b,biofilm_conspecific cue_predator cue_sterilized shell,1,4
27-Aug,22,2,14c,conspecific shell_FSW,0,6
27-Aug,22,2,14d,sterilized shell_FSW,0,6
